treatment,condition,replicate,mean_alpha,mean_beta,mean_p_base,maladaptation,trait_env_corr,phase
static,neg_to_pos,621327396,2.414832508586727,0.8603769386760802,0.5601581826297042,0.01895391266703575,0.9233921817926698,pre
static,neg_to_pos,1908258895,1.9614580051719832,1.106633246055725,0.5437412751698549,0.01843496458069595,0.9246805483154656,pre
static,pos_const,805936185,2.1229931484408846,1.408206958219009,0.36693829349094725,0.01932676620091345,0.9198819889988762,pre
static,pos_const,1285881703,2.0249787571290967,1.477545936476842,0.3396475846254571,0.02169771050137145,0.9104240368628347,pre
static,pos_const,1666488334,1.9497313832048513,1.5252615813518204,0.36516501827595255,0.01696251069931755,0.9308240678402158,pre
static,pos_to_neg,80170200,2.011351707564833,1.4060582110211186,0.3357188171137391,0.018297088498723198,0.924768359827611,pre
static,pos_to_neg,460776831,2.213258328325456,1.2825579715176394,0.3780826470338719,0.018665841269318598,0.9226416495866319,pre
static,pos_to_neg,841383462,1.7919789506455857,1.4532553844734486,0.3424459361248622,0.016162410349960202,0.9343602865971005,pre
moving,neg_const,193887049,2.2562906512270375,0.9849636869267011,0.696662125319823,0.13098338719856198,0.4233875818633509,post
moving,neg_const,673832567,2.105145810139378,0.9519308028585284,0.6472275479278955,0.13739866785093013,0.3711418366622192,post
moving,neg_const,1960764066,2.238043331871238,1.1577875348474924,0.7487844214660145,0.13712718764173382,0.4091339573269805,post
moving,neg_to_pos,1356249939,2.6415056488866973,0.7500695602590597,0.6308452107125562,0.1298761072806688,0.45010163206241516,post
moving,neg_to_pos,1736856570,3.3884236915816026,1.4146243590321625,0.5439004348715244,0.12446535882236344,0.45387893957924497,post
moving,neg_to_pos,2117463201,2.406675421799559,0.7983051199592436,0.7012204173847851,0.1293279518219051,0.42167401002112204,post
moving,pos_const,253927229,1.5425458877493736,1.4714904146079228,0.46269522700558263,0.12876176065681152,0.42643478815317903,post
moving,pos_const,634533860,2.190665833776005,1.500969653764105,0.47571634989679296,0.13299808641785324,0.38180426988459193,post
moving,pos_const,1114479378,1.8827976448121417,1.5727728413369617,0.4302766112134125,0.1322178773176486,0.395188270742713,post
moving,pos_to_neg,289374506,3.0645678176483098,1.4725487936916453,0.5510769453309415,0.1466443864086375,0.2866053548296875,post
moving,pos_to_neg,1576306005,2.2616135347183675,1.4047248141542883,0.4939665058973584,0.14720344247885125,0.33247287199595343,post
moving,pos_to_neg,1956912636,2.1118020844595162,1.3769323309961927,0.5734644457836265,0.1442359038825859,0.3813904341866392,post
static,neg_const,365289374,1.9130498938396203,1.3255173266365896,0.6936409506187322,0.01581053947360823,0.9360276521485781,post
static,neg_const,845234892,2.496990179464315,1.0309092968780758,0.6477437782340014,0.015395784267340947,0.9376167894433737,post
static,neg_const,1225841523,2.6536127468553454,0.9467891992194466,0.6250901790825273,0.015468368839399022,0.9369434563067721,post
static,neg_to_pos,240720765,2.8077943862697903,1.1978610292255747,0.5807220305946558,0.017187457463753032,0.9295261302754597,post
static,neg_to_pos,621327396,1.9272582169038137,1.0695321879491624,0.6136382610403422,0.016818656212019247,0.9312984717665903,post
static,neg_to_pos,1908258895,1.493851344786149,1.1870550111554539,0.6105898765601739,0.017142531317349684,0.9294098924621159,post
static,pos_const,805936185,2.093015833824526,1.4305326358752077,0.42324042359348024,0.01577576905200457,0.9355846226767988,post
static,pos_const,1285881703,1.6524290278914906,1.5171344508017734,0.41919971356414154,0.01826664197337489,0.9244350117634949,post
static,pos_const,1666488334,1.733322921086081,1.5876557823419817,0.42347625884001594,0.01642773492679567,0.932957602138962,post
static,pos_to_neg,80170200,2.162005161647479,1.4230871064886859,0.49885260052147307,0.01759232552858817,0.9290045503655014,post
static,pos_to_neg,460776831,2.2872020315731425,1.246944753164704,0.5553053603713033,0.018580781070221316,0.9239248364354062,post
static,pos_to_neg,841383462,1.6810936540367647,1.4619973496593535,0.5094982839755923,0.018093222827041008,0.9263921181082799,post
