date,tmax,tmin,prcp,snow,awnd
2024-02-13,35.9,25.5,0.01,0.1,9.5
2024-02-14,27.9,24.7,0.0,0.0,10.8
2024-02-15,33.4,31.4,0.0,0.0,13.1
2024-02-16,35.5,33.5,0.0,0.0,12.3
2024-02-17,46.3,22.5,0.0,0.0,5.0
2024-02-18,41.6,27.5,0.2,0.0,2.0
2024-02-19,27.1,25.1,0.0,0.0,12.3
2024-02-20,41.9,21.9,0.0,0.0,5.4
2024-02-21,37.2,29.3,0.0,0.0,8.8
2024-02-22,35.4,24.3,0.1,0.8,6.0
2024-02-23,44.7,30.1,0.0,0.0,4.1
2024-02-24,47.9,20.4,0.0,0.0,11.1
2024-02-25,47.5,22.2,0.07,0.0,11.8
2024-02-26,35.4,32.5,0.0,0.0,7.8
2024-02-27,39.4,26.7,0.3,0.0,2.0
2024-02-28,44.2,28.6,0.0,0.0,7.9
2024-02-29,49.0,25.3,0.0,0.0,10.7
2024-03-01,39.1,37.1,0.38,0.0,5.1
2024-03-02,41.4,29.3,0.0,0.0,10.1
2024-03-03,35.3,27.8,0.0,0.0,9.5
2024-03-04,35.0,33.0,0.0,0.0,11.2
2024-03-05,49.4,39.6,0.0,0.0,9.9
2024-03-06,53.5,44.2,0.0,0.0,6.6
2024-03-07,43.9,35.7,0.0,0.0,13.1
2024-03-08,51.7,31.1,0.0,0.0,9.0
2024-03-09,47.6,27.5,0.09,0.0,9.4
2024-03-10,40.9,35.0,0.0,0.0,6.7
2024-03-11,48.3,27.6,0.18,0.0,8.2
2024-03-12,56.9,43.0,0.0,0.0,6.8
2024-03-13,46.2,44.2,0.0,0.0,9.0
2024-03-14,57.8,37.1,0.27,0.0,14.6
2024-03-15,28.9,26.9,0.0,0.0,5.4
2024-03-16,53.3,37.7,0.0,0.0,4.7
2024-03-17,48.5,46.5,1.05,0.0,13.9
2024-03-18,46.2,38.8,0.0,0.0,8.9
2024-03-19,49.3,45.2,0.0,0.0,7.5
2024-03-20,35.2,33.2,0.12,1.0,12.6
2024-03-21,47.9,37.6,0.0,0.0,7.7
2024-03-22,52.4,44.6,0.04,0.0,15.0
2024-03-23,60.6,42.8,0.0,0.0,11.5
2024-03-24,47.0,45.0,0.0,0.0,8.0
2024-03-25,45.4,41.4,0.0,0.0,16.0
2024-03-26,47.9,36.7,0.0,0.0,7.7
2024-03-27,58.3,46.8,0.0,0.0,11.7
2024-03-28,54.6,39.8,0.0,0.0,10.4
2024-03-29,49.0,45.3,0.0,0.0,13.4
2024-03-30,56.7,47.1,0.0,0.0,14.2
2024-03-31,54.2,44.0,0.17,0.0,9.6
2024-04-01,60.7,49.1,0.0,0.0,7.2
2024-04-02,49.4,47.1,0.29,0.0,10.9
2024-04-03,52.5,50.5,0.37,0.0,7.5
2024-04-04,52.4,35.4,0.05,0.0,15.5
2024-04-05,45.4,43.4,0.0,0.0,9.9
2024-04-06,58.1,49.5,0.0,0.0,8.4
2024-04-07,58.3,45.4,0.0,0.0,10.1
2024-04-08,56.9,47.4,0.33,0.0,5.5
2024-04-09,55.7,48.4,0.0,0.0,6.6
2024-04-10,47.8,44.7,0.0,0.0,13.1
2024-04-11,55.2,44.4,0.0,0.0,7.5
2024-04-12,56.2,51.3,0.0,0.0,6.4
2024-04-13,53.4,51.4,0.0,0.0,11.1
2024-04-14,58.3,50.8,0.0,0.0,13.1
2024-04-15,62.7,60.7,0.0,0.0,11.7
2024-04-16,73.5,57.9,0.09,0.0,12.5
2024-04-17,62.0,43.9,0.02,0.0,7.2
2024-04-18,63.0,43.0,0.0,0.0,5.2
2024-04-19,61.1,52.9,0.83,0.0,14.0
2024-04-20,48.6,46.6,0.0,0.0,8.5
2024-04-21,62.3,50.9,0.0,0.0,8.7
2024-04-22,63.3,37.5,0.0,0.0,13.5
2024-04-23,80.6,47.7,0.0,0.0,11.2
2024-04-24,62.4,54.4,0.0,0.0,10.9
2024-04-25,66.3,59.0,0.0,0.0,16.0
2024-04-26,64.4,62.400000000000006,0.0,0.0,7.6
2024-04-27,56.8,54.0,0.0,0.0,12.3
2024-04-28,73.4,59.2,0.0,0.0,9.7
2024-04-29,71.1,63.0,0.0,0.0,10.3
2024-04-30,71.8,59.5,0.0,0.0,14.1
2024-05-01,60.3,58.3,0.0,0.0,11.0
2024-05-02,76.9,48.7,0.0,0.0,11.1
2024-05-03,57.7,53.1,0.0,0.0,12.7
2024-05-04,72.0,58.0,0.0,0.0,8.4
2024-05-05,83.7,50.9,0.0,0.0,7.0
2024-05-06,61.8,58.4,0.2,0.0,6.4
2024-05-07,65.2,63.2,0.33,0.0,3.6
2024-05-08,70.2,51.9,0.0,0.0,15.7
2024-05-09,66.4,57.2,0.01,0.0,6.2
2024-05-10,59.5,57.5,0.11,0.0,8.8
2024-05-11,71.2,61.7,0.37,0.0,8.7
2024-05-12,63.7,61.7,0.07,0.0,10.4
2024-05-13,74.8,68.4,0.34,0.0,11.9
2024-05-14,65.4,57.2,0.0,0.0,12.1
2024-05-15,83.1,52.7,0.0,0.0,7.8
2024-05-16,67.1,65.1,0.0,0.0,9.0
2024-05-17,70.7,60.2,0.0,0.0,10.3
2024-05-18,79.1,66.6,0.61,0.0,8.8
2024-05-19,65.1,63.099999999999994,0.0,0.0,14.3
2024-05-20,75.7,67.0,0.0,0.0,11.0
2024-05-21,83.6,68.8,0.55,0.0,11.7
2024-05-22,63.5,61.5,0.0,0.0,11.5
2024-05-23,76.4,69.3,0.0,0.0,13.0
2024-05-24,77.3,64.1,0.0,0.0,10.0
2024-05-25,81.3,66.1,0.0,0.0,5.6
2024-05-26,67.5,65.5,0.0,0.0,10.7
2024-05-27,67.2,65.2,0.25,0.0,7.5
2024-05-28,80.4,69.7,0.0,0.0,7.9
2024-05-29,79.2,63.3,0.8,0.0,11.3
2024-05-30,79.2,64.9,0.0,0.0,13.2
2024-05-31,80.1,72.6,0.0,0.0,9.6
2024-06-01,73.3,67.5,0.0,0.0,10.4
2024-06-02,79.9,64.6,0.0,0.0,14.6
2024-06-03,80.7,76.9,0.15,0.0,10.2
2024-06-04,73.9,66.2,0.32,0.0,17.3
2024-06-05,92.2,72.5,0.03,0.0,11.2
2024-06-06,82.8,66.6,0.32,0.0,4.2
2024-06-07,71.4,69.4,0.0,0.0,11.8
2024-06-08,84.6,79.0,0.0,0.0,10.6
2024-06-09,73.4,71.4,1.13,0.0,13.4
2024-06-10,86.0,70.2,0.0,0.0,11.5
2024-06-11,88.8,69.4,0.0,0.0,9.1
2024-06-12,75.2,73.2,0.0,0.0,5.8
2024-06-13,87.9,68.0,0.0,0.0,8.9
2024-06-14,84.3,79.7,0.4,0.0,6.9
2024-06-15,87.4,72.0,0.0,0.0,7.8
2024-06-16,95.1,77.9,0.0,0.0,11.3
2024-06-17,80.3,75.3,0.0,0.0,14.5
2024-06-18,77.0,72.0,0.33,0.0,10.7
2024-06-19,76.2,74.2,0.0,0.0,5.9
2024-06-20,76.9,74.6,0.43,0.0,10.8
2024-06-21,82.3,67.8,0.48,0.0,13.1
2024-06-22,85.4,75.9,0.0,0.0,7.7
2024-06-23,85.1,69.0,0.0,0.0,9.1
2024-06-24,89.1,79.0,0.0,0.0,9.5
2024-06-25,83.6,70.8,0.24,0.0,7.1
2024-06-26,93.8,66.4,0.0,0.0,11.4
2024-06-27,81.9,79.9,0.12,0.0,9.1
2024-06-28,102.9,77.9,0.14,0.0,10.8
2024-06-29,88.4,71.1,0.0,0.0,6.8
2024-06-30,78.1,75.1,0.0,0.0,8.2
2024-07-01,76.7,72.4,0.0,0.0,11.7
2024-07-02,87.7,77.3,0.0,0.0,8.4
2024-07-03,82.9,74.0,0.0,0.0,14.7
2024-07-04,89.5,75.3,0.0,0.0,8.3
2024-07-05,87.9,68.8,0.08,0.0,10.2
2024-07-06,84.2,73.4,0.0,0.0,12.3
2024-07-07,78.8,73.0,0.0,0.0,5.2
2024-07-08,74.2,72.2,0.33,0.0,4.2
2024-07-09,81.7,77.3,0.0,0.0,4.9
2024-07-10,90.9,77.1,0.0,0.0,13.3
2024-07-11,86.4,73.0,0.14,0.0,7.8
2024-07-12,76.2,74.2,0.6,0.0,17.2
2024-07-13,86.2,73.5,0.0,0.0,7.8
2024-07-14,87.7,64.6,0.2,0.0,10.1
2024-07-15,78.8,70.6,0.0,0.0,14.1
2024-07-16,86.1,76.6,0.0,0.0,15.5
2024-07-17,85.4,69.0,0.0,0.0,15.7
2024-07-18,77.0,75.0,0.0,0.0,13.1
2024-07-19,87.5,85.1,0.0,0.0,12.6
2024-07-20,88.9,80.0,0.0,0.0,11.3
2024-07-21,92.5,84.2,0.0,0.0,11.8
2024-07-22,92.2,76.6,0.0,0.0,7.8
2024-07-23,75.1,73.1,0.5,0.0,7.0
2024-07-24,78.2,66.4,0.0,0.0,9.5
2024-07-25,88.3,73.0,0.0,0.0,9.0
2024-07-26,88.2,75.7,0.0,0.0,8.1
2024-07-27,88.1,70.4,0.0,0.0,11.6
2024-07-28,111.4,85.5,0.0,0.0,12.4
2024-07-29,88.3,73.1,0.0,0.0,9.8
2024-07-30,92.2,70.4,0.0,0.0,13.9
2024-07-31,90.8,81.5,0.0,0.0,6.1
2024-08-01,88.6,68.3,0.0,0.0,8.9
2024-08-02,81.7,72.2,0.0,0.0,7.3
2024-08-03,89.1,75.8,0.0,0.0,3.9
2024-08-04,78.2,70.4,0.13,0.0,9.3
2024-08-05,81.8,62.1,0.0,0.0,9.1
2024-08-06,79.9,72.4,0.0,0.0,14.0
2024-08-07,83.7,71.9,0.09,0.0,11.4
2024-08-08,99.2,75.3,0.0,0.0,6.4
2024-08-09,69.7,67.7,0.11,0.0,15.1
2024-08-10,87.4,68.5,0.0,0.0,13.2
2024-08-11,71.2,69.2,0.0,0.0,11.2
2024-08-12,78.9,71.9,0.11,0.0,8.8
2024-08-13,89.7,74.4,0.0,0.0,6.6
2024-08-14,82.3,69.5,0.0,0.0,8.4
2024-08-15,74.1,70.0,0.0,0.0,12.8
2024-08-16,76.4,66.2,0.16,0.0,15.2
2024-08-17,85.9,73.7,0.04,0.0,14.1
2024-08-18,75.8,72.3,0.0,0.0,8.0
2024-08-19,82.2,75.6,0.0,0.0,6.1
2024-08-20,80.8,72.7,0.0,0.0,9.9
2024-08-21,75.7,68.3,0.22,0.0,4.2
2024-08-22,95.0,66.2,0.0,0.0,10.5
2024-08-23,84.1,74.3,0.0,0.0,9.1
2024-08-24,65.3,63.3,0.0,0.0,8.1
2024-08-25,80.5,62.4,0.09,0.0,4.7
2024-08-26,74.3,66.8,0.0,0.0,11.0
2024-08-27,84.6,59.2,0.0,0.0,7.9
2024-08-28,72.8,70.8,0.0,0.0,6.0
2024-08-29,77.2,74.2,0.0,0.0,2.0
2024-08-30,81.3,76.6,0.0,0.0,9.4
2024-08-31,83.5,59.9,0.0,0.0,14.8
2024-09-01,68.7,63.8,0.91,0.0,14.5
2024-09-02,74.4,67.1,0.0,0.0,8.1
2024-09-03,73.1,65.1,0.0,0.0,7.7
2024-09-04,71.6,69.6,0.65,0.0,10.9
2024-09-05,88.2,53.6,0.0,0.0,6.5
2024-09-06,78.3,64.8,0.0,0.0,10.4
2024-09-07,66.3,64.3,0.28,0.0,11.8
2024-09-08,81.2,61.2,0.0,0.0,13.2
2024-09-09,89.3,62.0,0.0,0.0,9.2
2024-09-10,81.3,63.0,0.0,0.0,8.9
2024-09-11,63.1,61.1,0.13,0.0,6.9
2024-09-12,70.0,61.0,0.0,0.0,7.0
2024-09-13,81.9,53.6,0.0,0.0,8.8
2024-09-14,67.7,55.9,0.0,0.0,10.6
2024-09-15,75.4,54.3,0.0,0.0,12.2
2024-09-16,77.3,64.4,0.17,0.0,7.1
2024-09-17,65.0,63.0,0.0,0.0,14.0
2024-09-18,70.7,61.7,0.03,0.0,8.7
2024-09-19,48.0,46.0,0.29,0.0,9.4
2024-09-20,63.2,54.9,0.0,0.0,7.3
2024-09-21,68.2,66.2,0.0,0.0,2.2
2024-09-22,60.8,51.9,0.0,0.0,12.2
2024-09-23,80.6,59.9,0.0,0.0,11.7
2024-09-24,58.7,56.7,0.0,0.0,8.7
2024-09-25,65.3,63.3,0.07,0.0,9.7
2024-09-26,68.8,66.2,0.0,0.0,11.0
2024-09-27,77.6,53.4,0.0,0.0,4.8
2024-09-28,57.1,55.1,0.0,0.0,7.9
2024-09-29,74.8,63.1,0.28,0.0,11.9
2024-09-30,66.4,62.8,0.0,0.0,5.7
2024-10-01,59.0,57.0,0.0,0.0,10.4
2024-10-02,68.7,47.1,0.15,0.0,5.4
2024-10-03,66.4,56.3,0.27,0.0,10.9
2024-10-04,60.4,58.4,0.0,0.0,9.4
2024-10-05,64.7,55.4,0.0,0.0,4.7
2024-10-06,61.1,55.1,0.04,0.0,13.0
2024-10-07,64.1,62.099999999999994,0.0,0.0,7.3
2024-10-08,67.5,53.2,0.16,0.0,7.1
2024-10-09,73.6,53.6,0.0,0.0,10.1
2024-10-10,53.4,48.6,0.0,0.0,12.9
2024-10-11,76.5,42.4,0.0,0.0,6.5
2024-10-12,47.5,45.5,0.0,0.0,9.7
2024-10-13,59.7,52.1,0.0,0.0,10.8
2024-10-14,64.4,55.9,0.03,0.0,11.6
2024-10-15,61.9,37.0,0.0,0.0,10.0
2024-10-16,55.1,49.2,0.0,0.0,8.4
2024-10-17,57.6,49.0,0.0,0.0,7.0
2024-10-18,55.2,48.7,0.02,0.0,9.8
2024-10-19,54.0,47.2,0.03,0.0,6.3
2024-10-20,63.7,48.5,0.67,0.0,2.0
2024-10-21,59.8,50.2,0.0,0.0,10.8
2024-10-22,52.0,49.6,0.0,0.0,12.2
2024-10-23,62.8,46.6,0.0,0.0,2.4
2024-10-24,58.2,48.8,0.0,0.0,6.5
2024-10-25,61.3,49.2,0.0,0.0,11.4
2024-10-26,59.6,44.7,0.22,0.0,15.7
2024-10-27,49.0,46.0,0.0,0.0,9.6
2024-10-28,50.4,36.8,0.0,0.0,7.3
2024-10-29,59.2,57.2,0.0,0.0,9.0
2024-10-30,57.8,38.1,0.0,0.0,13.6
2024-10-31,53.0,36.9,0.0,0.0,7.6
2024-11-01,53.5,51.5,0.0,0.0,7.1
2024-11-02,61.2,44.0,0.23,0.0,8.1
2024-11-03,47.7,43.7,0.12,0.0,6.6
2024-11-04,55.3,48.5,0.0,0.0,9.9
2024-11-05,49.6,44.9,0.0,0.0,14.4
2024-11-06,49.1,46.2,0.0,0.0,10.5
2024-11-07,58.0,31.5,0.0,0.0,8.7
2024-11-08,55.6,35.2,0.24,0.0,8.6
2024-11-09,55.2,33.1,0.39,0.0,4.8
2024-11-10,58.2,35.5,0.0,0.0,12.1
2024-11-11,48.8,44.3,0.0,0.0,9.3
2024-11-12,53.1,40.9,0.25,0.0,9.0
2024-11-13,45.8,35.5,0.0,0.0,19.1
2024-11-14,49.8,43.7,0.06,0.0,10.4
2024-11-15,46.3,33.6,0.0,0.0,7.2
2024-11-16,47.5,38.0,0.07,0.0,8.2
2024-11-17,50.6,38.3,0.0,0.0,12.9
2024-11-18,40.4,32.5,0.0,0.0,9.8
2024-11-19,60.4,33.5,0.0,0.0,5.2
2024-11-20,38.4,36.4,0.42,0.0,12.3
2024-11-21,36.5,29.2,0.13,1.0,7.5
2024-11-22,52.8,40.1,0.0,0.0,15.1
2024-11-23,49.9,31.3,0.0,0.0,12.7
2024-11-24,48.4,31.1,0.0,0.0,8.2
2024-11-25,48.1,35.3,0.08,0.0,13.3
2024-11-26,43.3,31.7,0.0,0.0,9.7
2024-11-27,36.8,34.8,0.0,0.0,12.1
2024-11-28,43.3,28.1,0.0,0.0,11.0
2024-11-29,37.7,33.4,0.79,6.3,7.0
2024-11-30,49.0,34.7,0.0,0.0,7.6
2024-12-01,40.8,26.6,0.55,0.0,12.6
2024-12-02,35.8,33.8,0.22,1.8,8.5
2024-12-03,39.0,37.0,0.0,0.0,8.3
2024-12-04,43.9,38.8,0.03,0.0,6.6
2024-12-05,36.8,27.7,0.0,0.0,10.8
2024-12-06,34.7,32.7,0.0,0.0,15.7
2024-12-07,41.9,21.4,0.0,0.0,6.3
2024-12-08,41.6,39.6,0.0,0.0,9.6
2024-12-09,36.1,21.2,0.37,3.0,13.7
2024-12-10,36.1,28.3,0.0,0.0,9.3
2024-12-11,40.8,29.6,0.0,0.0,10.9
2024-12-12,28.8,26.8,0.09,0.7,6.3
2024-12-13,28.8,26.7,0.0,0.0,10.8
2024-12-14,33.4,28.7,0.03,0.2,8.9
2024-12-15,36.8,22.7,0.83,6.6,12.5
2024-12-16,40.2,27.5,0.0,0.0,13.1
2024-12-17,48.2,27.1,0.11,0.0,17.3
2024-12-18,43.7,29.5,0.0,0.0,11.2
2024-12-19,36.3,27.7,0.0,0.0,10.5
2024-12-20,37.1,25.7,0.0,0.0,10.1
2024-12-21,30.1,28.1,0.22,1.8,8.4
2024-12-22,36.8,33.7,0.76,6.1,10.5
2024-12-23,34.8,23.1,0.21,1.7,8.6
2024-12-24,38.9,25.8,0.0,0.0,10.0
2024-12-25,30.7,27.4,0.0,0.0,13.5
2024-12-26,40.0,26.2,0.07,0.0,6.5
2024-12-27,46.9,24.5,0.0,0.0,12.9
2024-12-28,35.3,28.8,0.04,0.3,13.5
2024-12-29,38.8,29.8,0.0,0.0,9.1
2024-12-30,40.7,24.8,0.0,0.0,3.1
2024-12-31,32.9,30.6,0.0,0.0,7.7
